Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,0952,23,123,15,24,0,14185,14195,14185,14191,147,,472
20220704,0953,22,37,8,21,0,14191,14194,14191,14194,58,,473
20220704,0954,5,15,12,26,0,14194,14194,14188,14190,41,,474
20220704,0955,13,34,11,28,0,14189,14191,14188,14189,62,,475
20220704,0956,13,23,8,14,0,14190,14191,14188,14190,37,,476
20220704,0957,3,4,7,10,0,14190,14190,14188,14190,14,,477
20220704,0958,10,11,22,57,0,14190,14190,14186,14186,68,,478
20220704,0959,10,20,19,42,0,14186,14189,14185,14189,62,,479
20220704,1000,2,2,8,12,0,14187,14188,14185,14186,14,,480
20220704,1001,32,54,20,47,0,14186,14190,14184,14185,101,,481
20220704,1002,15,17,22,32,0,14185,14185,14181,14182,49,,482
20220704,1003,20,31,31,66,0,14181,14184,14178,14179,97,,483
20220704,1004,16,48,17,27,0,14179,14182,14178,14178,75,,484
20220704,1005,17,43,9,12,0,14178,14181,14178,14181,55,,485
20220704,1006,6,13,14,37,0,14182,14182,14178,14179,50,,486
20220704,1007,1,1,6,7,0,14179,14179,14178,14179,8,,487
20220704,1008,3,6,9,28,0,14180,14180,14178,14179,34,,488
20220704,1009,11,20,5,13,0,14180,14180,14177,14179,33,,489
20220704,1010,17,30,1,3,0,14180,14183,14180,14183,33,,490
20220704,1011,7,8,7,14,0,14183,14183,14179,14181,22,,491
20220704,1012,6,10,7,11,0,14180,14183,14180,14182,21,,492
20220704,1013,6,11,8,12,0,14183,14185,14183,14184,23,,493
20220704,1014,9,11,5,5,0,14184,14186,14183,14184,16,,494
20220704,1015,5,12,4,10,0,14184,14185,14183,14185,22,,495
20220704,1016,5,10,7,15,0,14185,14185,14181,14182,25,,496
20220704,1017,6,7,2,2,0,14181,14182,14181,14181,9,,497
20220704,1018,7,12,2,2,0,14181,14185,14181,14185,14,,498
20220704,1019,7,22,2,2,0,14184,14187,14184,14187,24,,499
20220704,1020,23,59,11,18,0,14188,14191,14188,14189,77,,500
20220704,1021,7,9,12,51,0,14190,14191,14185,14188,60,,501
20220704,1022,0,0,3,6,0,14187,14187,14187,14187,6,,502
20220704,1023,3,18,3,3,0,14187,14189,14187,14187,21,,503
20220704,1024,4,7,1,3,0,14188,14188,14187,14188,10,,504
20220704,1025,0,0,2,2,0,14187,14187,14187,14187,2,,505
20220704,1026,3,17,1,1,0,14187,14188,14187,14188,18,,506
20220704,1027,6,6,0,0,0,14188,14190,14188,14190,6,,507
20220704,1028,35,88,6,16,0,14191,14197,14191,14197,104,,508
20220704,1029,5,11,15,30,0,14197,14197,14195,14196,41,,509
20220704,1030,9,31,4,20,0,14196,14197,14195,14196,51,,510
20220704,1031,41,94,16,55,0,14197,14200,14196,14198,149,,511
20220704,1032,5,5,5,12,0,14198,14198,14197,14197,17,,512
20220704,1033,4,14,6,14,0,14197,14200,14197,14197,28,,513
20220704,1034,7,8,1,1,0,14198,14198,14197,14198,9,,514
20220704,1035,4,4,14,25,0,14197,14197,14194,14195,29,,515
20220704,1036,4,11,2,2,0,14195,14195,14194,14195,13,,516
20220704,1037,7,11,6,25,0,14196,14197,14195,14197,36,,517
20220704,1038,135,306,59,136,0,14198,14212,14198,14209,442,,518
20220704,1039,37,66,18,36,0,14209,14214,14209,14212,102,,519
20220704,1040,7,8,26,41,0,14210,14211,14207,14207,49,,520
20220704,1041,23,32,10,11,0,14207,14210,14207,14209,43,,521
20220704,1042,12,25,12,53,0,14209,14211,14207,14210,78,,522
20220704,1043,41,72,21,36,0,14211,14216,14208,14208,108,,523
20220704,1044,9,10,7,27,0,14209,14211,14208,14208,37,,524
20220704,1045,18,35,5,8,0,14209,14210,14207,14207,43,,525
20220704,1046,8,8,16,23,0,14209,14209,14202,14202,31,,526
20220704,1047,12,15,17,33,0,14202,14202,14200,14201,48,,527
20220704,1048,13,26,2,2,0,14202,14205,14202,14205,28,,528
20220704,1049,4,12,4,8,0,14205,14205,14204,14205,20,,529
20220704,1050,5,7,3,6,0,14205,14205,14203,14205,13,,530
20220704,1051,4,4,6,7,0,14204,14204,14201,14204,11,,531
20220704,1052,2,4,1,1,0,14204,14205,14203,14203,5,,532
20220704,1053,3,5,9,16,0,14203,14204,14202,14203,21,,533
20220704,1054,6,7,4,11,0,14204,14204,14202,14203,18,,534
20220704,1055,2,4,6,14,0,14202,14203,14200,14200,18,,535
20220704,1056,14,30,9,16,0,14200,14204,14199,14203,46,,536
20220704,1057,10,21,2,6,0,14202,14207,14202,14207,27,,537
20220704,1058,7,12,5,16,0,14206,14207,14203,14205,28,,538
20220704,1059,4,9,9,14,0,14201,14202,14200,14200,23,,539
20220704,1100,3,3,4,4,0,14202,14203,14201,14203,7,,540
20220704,1101,12,21,9,11,0,14204,14206,14202,14203,32,,541
20220704,1102,9,11,1,4,0,14204,14207,14204,14207,15,,542
20220704,1103,34,73,14,18,0,14205,14213,14205,14213,91,,543
20220704,1104,5,7,9,17,0,14213,14214,14209,14210,24,,544
