Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,QryIndex
20210218,0,47060,93491,47907,98577,0,16350,16368,16130,16314,192068,29
20210219,0,49240,97833,49183,98972,0,16348,16564,16336,16385,196805,30
20210222,0,45909,93312,44900,92626,0,16365,16451,16182,16437,185938,31
20210223,0,61840,118188,65911,130653,0,16416,16435,16133,16182,248841,32
20210224,0,51346,101230,48788,96020,0,16150,16422,16139,16388,197250,33
20210225,0,67692,126415,69707,136151,0,16394,16397,15852,15935,262566,34
20210226,0,63518,120707,66785,126213,0,15931,16277,15746,15907,246920,35
20210302,0,52704,105792,50633,100509,0,15935,16196,15885,16181,206301,36
20210303,0,67718,129714,71366,140249,0,16195,16255,15756,15925,269963,37
20210304,0,72004,136661,71386,138382,0,15940,15998,15570,15855,275043,38
20210305,0,70791,246459,72522,136873,0,15863,16095,15705,15816,272290,39
20210308,0,63506,120503,63759,122415,0,15825,15958,15608,15822,242918,40
20210309,0,47460,95751,46705,94969,0,15778,15997,15768,15883,190720,41
20210310,0,50792,99924,48708,93773,0,15883,16214,15868,16174,193697,42
20210311,0,37385,74765,38464,78001,0,16163,16288,16155,16222,152766,43
20210312,0,39018,74022,39571,76708,0,16197,16249,16093,16200,150730,44
20210315,0,35848,70947,34559,68770,0,16197,16348,16151,16305,139717,45
20210316,0,24157,44217,27755,52429,0,16325,16361,16161,16176,96646,46
20210317,0,44541,90204,44327,89989,0,16160,16401,16083,16239,180193,47
20210318,0,48599,96392,51740,106478,0,16258,16265,15953,16012,202870,48
20210319,0,46462,93864,43598,89082,0,16011,16174,15911,16140,182946,49
20210322,0,83989,169842,83259,169175,0,16147,16277,16090,16120,156071,50
20210323,0,37665,78138,39801,86117,0,16123,16146,15939,15983,164255,51
20210324,0,42922,90365,42529,89435,0,15977,16090,15857,16032,179800,52
20210325,0,42593,90369,39073,80292,0,16031,16293,15975,16288,170661,53
20210326,0,39254,79382,38747,78578,0,16300,16485,16240,16411,157960,54
20210329,0,34183,69358,34204,66599,0,16425,16531,16413,16519,135957,55
20210330,0,31610,61973,34501,71165,0,16526,16567,16403,16422,133138,56
20210331,0,35146,73237,33863,69340,0,16413,16587,16413,16551,142577,57
20210406,0,33194,67380,33958,67612,0,16580,16840,16564,16731,134992,58
20210407,0,27309,57001,26909,59066,0,16742,16795,16673,16768,116067,59
20210408,0,33356,70017,30362,63955,0,16765,16930,16687,16930,133972,60
20210409,0,29398,59943,32400,66911,0,16930,16977,16810,16841,126854,61
20210412,0,33418,66895,33676,69115,0,16833,16965,16760,16834,136010,62
20210413,0,41284,86108,42528,89558,0,16845,17046,16780,16795,175666,63
20210414,0,49885,104240,50503,109529,0,16807,16917,16592,16856,213769,64
20210415,0,41795,85847,37681,76246,0,16859,17074,16826,17071,162093,65
20210416,0,39742,83045,40351,84897,0,17097,17160,16990,17158,167942,66
20210419,0,31905,66467,29248,61163,0,17143,17296,17111,17271,127630,67
20210420,0,30661,63622,31469,65170,0,17278,17324,17201,17319,128792,68
20210421,0,27891,53228,29600,58135,0,17305,17329,17150,17231,111363,69
20210422,0,50291,108095,51330,111245,0,17151,17369,17053,17109,219340,70
20210423,0,42299,85927,40535,81358,0,17096,17260,17011,17257,167285,71
20210426,0,39475,84208,35010,73996,0,17257,17536,17251,17530,158204,72
20210427,0,35097,74706,35614,75398,0,17528,17576,17460,17571,150104,73
20210428,0,28045,59476,28980,63369,0,17561,17570,17475,17533,122845,74
20210429,0,42869,89608,43327,90598,0,17528,17702,17503,17571,180206,75
20210503,0,49951,100959,55331,118345,0,17581,17633,17226,17253,219304,76
20210504,0,72509,136673,74737,145764,0,17249,17328,16668,16933,282437,77
20210505,0,58241,113993,58190,114691,0,16943,17020,16662,16769,228684,78
20210506,0,59186,120324,57070,115282,0,16785,17081,16700,16944,235606,79
20210507,0,50049,97725,46394,89606,0,16967,17288,16942,17287,187331,80
20210510,0,40887,77844,43575,84313,0,17269,17375,17178,17228,162157,81
20210511,0,73678,138976,77994,154916,0,17214,17220,16425,16556,293892,82
20210512,0,143081,245053,145219,254129,0,16569,16580,15027,15692,499182,83
20210513,0,104912,167708,105403,170244,0,15688,15991,15348,15566,337952,84
20210514,0,96393,164708,95306,163550,0,15588,16021,15318,15772,328258,85
20210517,0,93287,158163,96388,163796,0,15747,15974,15096,15263,321959,86
20210518,0,76402,138056,72348,128547,0,15292,16180,15284,16147,266603,87
20210519,0,48334,81445,49024,83844,0,16164,16318,15979,16138,165289,88
20210520,0,64264,113703,64655,116202,0,16006,16113,15845,15981,229905,89
20210521,0,65137,119981,64083,117598,0,15961,16425,15933,16257,237579,90
20210524,0,52859,96862,53460,98709,0,16254,16368,16006,16294,195571,91
20210525,0,50896,94648,48832,89411,0,16290,16623,16265,16585,184059,92
20210526,0,38420,72425,40090,73927,0,16624,16664,16494,16616,146352,93
20210527,0,47979,90914,47858,89460,0,16614,16673,16219,16534,180374,94
20210528,0,44850,85388,42532,81133,0,16500,16878,16493,16863,166521,95
20210531,0,49910,94633,50015,93287,0,16850,17098,16805,17013,187920,96
20210601,0,35747,67858,35754,65862,0,17029,17148,16966,17130,133720,97
20210602,0,38581,77037,39639,79483,0,17157,17226,17016,17098,156520,98
20210603,0,42630,81976,41960,82931,0,17071,17313,17059,17230,164907,99
20210604,0,39368,78024,40524,81311,0,17201,17210,17025,17100,159335,100
20210607,0,58275,109260,57828,110056,0,17105,17260,16719,17090,219316,101
20210608,0,35669,67340,36398,70079,0,17120,17200,17030,17090,137419,102
20210609,0,41296,79460,43105,84378,0,17077,17125,16889,16963,163838,103
20210610,0,42641,85300,40181,78452,0,16957,17175,16926,17159,163752,104
20210611,0,36550,70362,37319,71826,0,17157,17298,17117,17219,142188,105
20210615,0,31090,60897,29423,56636,0,17219,17402,17181,17398,117533,106
20210616,0,23269,42582,24963,45984,0,17408,17433,17033,17345,88566,107
20210617,0,34480,70010,32054,66577,0,17257,17298,17039,17297,136587,108
20210618,0,31713,64645,32718,67907,0,17275,17332,17212,17252,132552,109
20210621,0,49735,93157,52860,101572,0,17256,17258,16891,16962,194729,110
20210622,0,35384,70262,35542,69455,0,17008,17180,16988,17028,139717,111
20210623,0,43310,88099,41621,83306,0,17020,17319,16929,17272,171405,112
20210624,0,30412,61683,29832,60156,0,17281,17398,17218,17336,121839,113
20210625,0,34576,68525,35058,69050,0,17352,17562,17345,17419,137575,114
20210628,0,27303,52375,26042,50335,0,17419,17560,17398,17535,102710,115
20210629,0,32389,65732,33835,70523,0,17534,17627,17451,17529,136255,116
20210630,0,31561,64728,28763,59586,0,17527,17766,17511,17715,124314,117
20210701,0,38172,75380,41263,82859,0,17720,17774,17555,17646,158239,118
20210702,0,33433,65397,34003,67302,0,17646,17724,17566,17653,132699,119
20210705,0,34610,68130,31602,62649,0,17655,17920,17646,17898,130779,120
20210706,0,25042,49463,26252,53501,0,17910,17974,17858,17878,102964,121
20210707,0,37691,74181,38825,77288,0,17890,17906,17701,17830,151469,122
20210708,0,37643,73144,38262,75662,0,17843,17917,17694,17825,148806,123
20210709,0,49695,97394,50247,101795,0,17777,17780,17526,17658,199189,124
20210712,0,40223,81132,39938,79378,0,17710,17960,17704,17824,160510,125
20210713,0,35983,72752,37698,74766,0,17840,18030,17808,17869,147518,126
20210714,0,37933,75026,38372,77923,0,17862,17937,17748,17874,152949,127
20210715,0,34059,70821,30557,63848,0,17864,18046,17860,18022,134669,128
20210716,0,39116,79491,41165,87387,0,18004,18012,17772,17925,166878,129
20210719,0,41422,81648,42042,84067,0,17906,17951,17647,17794,165715,130
20210720,0,48062,94974,53362,106452,0,17800,17806,17478,17558,201426,131
20210721,0,37090,69442,37110,69897,0,17584,17674,17376,17430,139339,132
20210722,0,40967,86935,41406,85732,0,17299,17525,17233,17407,172667,133
20210723,0,37481,75050,38671,78000,0,17421,17559,17353,17407,153050,134
20210726,0,34341,66094,37207,76032,0,17409,17487,17197,17202,142126,135
20210727,0,38232,80315,39659,83606,0,17216,17348,17138,17173,163921,136
20210728,0,67445,135786,68750,140270,0,17146,17168,16733,16965,276056,137
20210729,0,43774,92065,39812,80338,0,16996,17332,16984,17331,172403,138
20210730,0,35757,73179,38566,81167,0,17348,17420,17126,17173,154346,139
20210802,0,45183,94868,42813,86550,0,17174,17470,17160,17470,181418,140
20210803,0,31700,63716,31742,64421,0,17469,17496,17343,17484,128137,141
20210804,0,30816,62485,29565,59449,0,17490,17586,17409,17571,121934,142
20210805,0,21174,42608,22849,47448,0,17584,17588,17519,17542,90056,143
20210806,0,35337,71340,35834,75239,0,17505,17568,17295,17437,146579,144
20210809,0,36201,76252,34365,72123,0,17447,17477,17235,17404,148375,145
20210810,0,29541,61915,32352,69558,0,17406,17467,17259,17299,131473,146
20210811,0,41188,87131,42646,89133,0,17300,17324,17078,17171,176264,147
20210812,0,31231,63208,31267,63848,0,17152,17235,17116,17157,127056,148
20210813,0,41314,84725,44082,93750,0,17155,17212,16934,16934,178475,149
20210816,0,42067,83910,42542,85167,0,16949,16962,16750,16772,169077,150
20210817,0,34974,71808,36543,77271,0,16800,16873,16575,16580,149079,151
20210818,0,76676,150775,76235,151354,0,16556,16796,16313,16784,153050,152
20210819,0,54298,110497,57036,119259,0,16692,16709,16256,16329,229756,153
20210820,0,67973,136638,68465,136480,0,16251,16426,16050,16193,273118,154
20210823,0,44051,88937,40449,80582,0,16223,16729,16194,16684,169519,155
20210824,0,31191,60554,31386,61141,0,16668,16842,16621,16784,121695,156
20210825,0,34566,71636,31696,63517,0,16803,16982,16736,16963,135153,157
20210826,0,40838,83782,42826,87986,0,16990,17148,16882,16995,171768,158
20210827,0,40757,82735,38642,77818,0,16976,17218,16908,17170,160553,159
20210830,0,32942,66910,31540,62841,0,17194,17353,17179,17339,129751,160
20210831,0,36992,79773,37397,80076,0,17335,17468,17144,17457,159849,161
20210901,0,33006,73299,33682,73079,0,17470,17500,17363,17476,146378,162
20210902,0,37736,79486,40117,85093,0,17482,17524,17266,17320,164579,163
20210903,0,36693,75424,34420,69963,0,17351,17553,17342,17509,145387,164
20210906,0,36680,74769,37500,75916,0,17480,17596,17425,17496,150685,165
20210907,0,33270,67880,35263,74498,0,17515,17568,17337,17422,142378,166
20210908,0,42000,87203,44699,93940,0,17424,17447,17163,17262,181143,167
20210909,0,46290,97562,44962,95767,0,17245,17291,17084,17235,193329,168
20210910,0,36116,76704,33249,67572,0,17243,17479,17224,17473,144276,169
20210913,0,30491,62471,31962,66106,0,17458,17496,17356,17442,128577,170
20210914,0,28479,57895,29466,59289,0,17464,17569,17426,17461,117184,171
20210915,0,27684,50014,27853,52074,0,17411,17470,17280,17382,102088,172
20210916,0,30300,58951,30932,62309,0,17332,17365,17191,17248,121260,173
20210917,0,36065,72346,33892,69828,0,17230,17395,17165,17298,142174,174
20210922,0,40814,78783,42092,86133,0,17300,17306,16751,16900,164916,175
20210923,0,34073,69208,32375,64408,0,16920,17130,16869,17080,133616,176
20210924,0,31407,64372,29860,60269,0,17095,17275,17083,17250,124641,177
20210927,0,28590,57816,30542,61962,0,17221,17344,17165,17292,119778,178
20210928,0,30728,61950,31689,66107,0,17275,17285,17042,17170,128057,179
20210929,0,47571,100370,51405,110763,0,17130,17139,16760,16823,211133,180
20210930,0,45592,94285,42768,87881,0,16828,16966,16668,16917,182166,181
20211001,0,50096,102697,54530,114281,0,16940,16942,16415,16517,216978,182
20211004,0,56287,114140,57231,116951,0,16455,16654,16313,16358,231091,183
20211005,0,56248,111646,54376,109541,0,16345,16457,16107,16398,221187,184
20211007,0,47286,98927,46829,95621,0,16360,16760,16200,16706,194548,185
20211008,0,32470,65915,35273,71382,0,16713,16799,16591,16627,137297,186
20211012,0,44718,88810,43361,87745,0,16619,16671,16285,16418,176555,187
20211013,0,37637,77297,41028,83725,0,16389,16585,16318,16318,161022,188
20211014,0,37804,75517,37510,76174,0,16316,16546,16261,16405,151691,189
20211015,0,38120,80602,35109,72618,0,16454,16790,16445,16782,153220,190
20211018,0,29885,55974,31796,60873,0,16788,16870,16705,16725,116847,191
20211019,0,28945,56826,25610,51698,0,16699,16954,16674,16902,108524,192
20211020,0,19644,35338,21871,40679,0,16933,16989,16863,16882,76017,193
20211021,0,34708,68813,34907,74404,0,16873,17047,16812,16813,143217,194
20211022,0,30742,63855,29453,62235,0,16810,16913,16770,16854,126090,195
20211025,0,33592,66223,32682,64504,0,16849,16930,16731,16888,130727,196
20211026,0,29047,58822,28238,55626,0,16902,17073,16883,17048,114448,197
20211027,0,28430,57914,28775,58139,0,17044,17088,16928,17071,116053,198
20211028,0,27934,56548,29666,59759,0,17070,17103,16980,17038,116307,199
20211029,0,32946,65313,33473,69444,0,17017,17112,16858,16945,134757,200
20211101,0,28915,57264,27389,52778,0,16930,17130,16881,17079,110042,201
20211102,0,30346,59433,33329,65711,0,17078,17255,17004,17047,125144,202
20211103,0,24667,47357,22531,44426,0,17047,17127,17023,17092,91783,203
20211104,0,28736,56796,31796,63321,0,17102,17280,17050,17075,120117,204
20211105,0,30043,61949,25531,52753,0,17067,17279,17059,17267,114702,205
20211108,0,28137,56705,26949,53256,0,17274,17425,17241,17424,109961,206
20211109,0,26297,52604,26101,52488,0,17421,17593,17415,17555,105092,207
20211110,0,25647,51708,27685,57032,0,17560,17633,17496,17555,108740,208
20211111,0,30613,61165,32469,67158,0,17573,17627,17395,17470,128323,209
20211112,0,30033,60278,30201,59879,0,17485,17638,17462,17547,120157,210
20211115,0,27000,52173,25000,49827,0,17540,17707,17520,17664,102000,211
20211116,0,19866,40161,20056,39472,0,17665,17719,17637,17701,79633,212
20211117,0,17044,32855,16798,33633,0,17712,17761,17678,17722,66488,213
20211118,0,26417,57379,23825,52207,0,17758,17868,17743,17860,109586,214
20211119,0,25299,51513,27699,56900,0,17857,17949,17813,17851,108413,215
20211122,0,24740,48576,24779,48997,0,17850,17876,17724,17836,97573,216
20211123,0,32503,65362,34885,72854,0,17838,17889,17638,17659,138216,217
20211124,0,29766,60126,29411,59869,0,17658,17698,17557,17679,119995,218
20211125,0,24594,49777,25685,53115,0,17694,17718,17588,17676,102892,219
20211126,0,33054,67260,36015,76034,0,17667,17676,17307,17342,143294,220
20211129,0,47598,94284,46607,93009,0,17321,17416,17065,17308,187293,221
20211130,0,36618,74199,36604,73887,0,17368,17537,17295,17327,148086,222
20211201,0,47322,94068,44354,85369,0,17291,17617,17209,17586,179437,223
20211202,0,39513,78926,38966,76584,0,17590,17709,17500,17705,155510,224
20211203,0,36002,67534,35842,69221,0,17742,17775,17621,17706,136755,225
20211206,0,36809,69287,36396,70675,0,17707,17736,17527,17693,139962,226
